구 분,2G(TB),3G(TB),4G(TB),WiBro(TB),WiFi(TB),합 계(TB)
2012년 1월,21,20707,2838,2685,3497,29748
2012년 2월,18,20063,4181,2630,3145,30037
2012년 3월,16,21627,5525,3037,3695,33900
2012년 4월,14,21621,7958,2989,3756,36338
2012년 5월,14,22165,10578,3102,4100,39958
2012년 6월,13,22199,12578,3077,4118,41985
2012년 7월,11,22611,15501,3115,3812,45051
2012년 8월,11,22770,18035,3275,4078,48169
2012년 9월,9,20376,19532,3145,4519,47581
2012년 10월,9,21007,21493,3164,4282,49955
2012년 11월,9,19975,23614,3255,4517,51370
2012년 12월,9,20267,27687,3453,4546,55963
2013년 1월,8,19996,30355,3522,4380,58262
2013년 2월,8,17437,31946,3270,3713,56375
2013년 3월,8,18565,40503,3584,4567,67227
2013년 4월,8,17839,42993,3658,4894,69331
2013년 5월,8,17097,44497,3810,5449,70861
2013년 6월,8,15669,45532,3696,5592,70497
2013년 7월,8,15826,50344,3884,5442,75503
2013년 8월,8,15411,53578,3840,5847,78684
2013년 9월,8,14061,55579,3884,6164,79696
2013년 10월,7,13356,59163,4113,6831,83469
2013년 11월,6,11713,57357,4059,7106,80241
2013년 12월,7,11854,61197,4165,7064,84287
2014년 1월,7,11293,61639,4007,6541,83487
2014년 2월,6,9630,59287,3696,5796,78415
2014년 3월,7,9690,66613,4135,7480,87926
2014년 4월,7,9314,69402,4140,7309,90172
2014년 5월,7,9214,77234,4272,7670,98397
2014년 6월,7,8760,83644,4214,7879,104503
2014년 7월,7,8429,93746,4282,7447,113911
2014년 8월,6,7988,100813,4183,7419,120409
2014년 9월,6,7091,103067,4162,7329,121655
2014년 10월,5,6972,111281,4226,8603,131087
2014년 11월,6,6372,108792,4309,8609,128088
2014년 12월,6,6143,113249,4307,8606,132313
2015년 1월,6,5659,112272,3924,7810,129672
2015년 2월,6,4816,109372,3596,6632,124423
2015년 3월,6,4874,120960,4084,8197,138121
2015년 4월,6,4606,126954,4158,9798,145521
2015년 5월,6,4394,133659,4095,10162,152318
2015년 6월,6,3930,133323,3948,9152,150359
2015년 7월,7,3856,145649,4038,9530,163080
2015년 8월,6,3609,153225,3922,9698,170459
2015년 9월,7,3284,152338,3938,10174,169742
2015년 10월,7,3167,160588,3777,10781,178320
2015년 11월,7,2819,162313,3481,11309,179929
2015년 12월,7,2745,173008,3468,10430,189657
2016년 1월,7,2543,172012,3309,9737,187067
2016년 2월,6,2267,171219,3078,9281,185850
2016년 3월,7,2296,187417,3388,10950,204058
2016년 4월,7,2122,190473,3220,11886,207707
2016년 5월,7,2133,208778,3259,12246,226423
2016년 6월,7,1974,206271,3073,11816,223140
2016년 7월,7,1915,219042,3008,11522,235494
2016년 8월,7,1791,226683,2870,11105,242455
2016년 9월,7,1684,226897,2871,12394,243853
2016년 10월,7,1690,240029,2927,13229,257881
2016년 11월,7,1576,237123,2865,13788,255358
2016년 12월,7,1590,253042,2825,12952,270416
2017년 1월,7,996,"254,944","2,525","12,195","270,667"
2017년 2월,6,879,"236,262","2,255","10,905","250,307"
2017년 3월,6,911,"269,558","2,434","14,253","287,162"
2017년 4월,6,856,"276,606","2,304","14,108","293,880"
2017년 5월,6,841,"299,770","2,229","15,981","318,827"
2017년 6월,6,768,"294,681","2,085","17,004","314,544"
2017년 7월,6,739,"305,816","1,985","16,217","324,763"
2017년 8월,5,731,"313,754","1,992","15,931","332,413"
2017년 9월,5,700,"304,111","1,808","16,454","323,078"
2017년 10월,4,711,"318,229","1,045","15,784","335,773"
2017년 11월,4,656,"303,508","1,005","15,021","320,194"
2017년 12월,4,578,"314,570",947,"14,495","330,594"
2018년 1월,4,588,"318,373",815,"14,064","333,844"
2018년 2월,4,547,"297,428",712,"12,554","311,245"
2018년 3월,4,571,"335,735",731,"15,577","352,618"
2018년 4월,4,611,"344,966",682,"16,545","362,808"
2018년 5월,4,623,"370,850",657,"17,618","389,752"
2018년 6월,4,686,"363,783",572,"17,486","382,531"
2018년 7월,4,657,"376,491",441,"15,561","393,154"
2018년 8월,4,666,"386,436",373,"15,682","403,161"
